127.0.0.1 - - [10/Aug/2022:22:30:13 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:30:13 +0100] "GET /spring-rest-demo/WEB-INF/classes HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:30:14 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:30:52 +0100] "GET /spring-rest-demo/WEB-INF/classes HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:30:53 +0100] "GET /spring-rest-demo/WEB-INF/classes HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:31:16 +0100] "GET /spring-rest-demo/ HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:31:19 +0100] "GET /spring-rest-demo/api/students HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:31:40 +0100] "POST /spring-rest-demo/api/students/9999 HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:31:54 +0100] "POST /spring-rest-demo/api/students HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:31:58 +0100] "POST /spring-rest-demo/api/students HTTP/1.1" 405 750
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:32:06 +0100] "GET /spring-rest-demo/api/students HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:32:07 +0100] "GET /spring-rest-demo/api/students HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:32:12 +0100] "GET /spring-rest-demo/api/students/9999 HTTP/1.1" 404 91
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:32:20 +0100] "GET /spring-rest-demo/api/students/9999 HTTP/1.1" 404 91
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:32:21 +0100] "GET /spring-rest-demo/api/students/9999 HTTP/1.1" 404 91
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:40:00 +0100] "GET /spring-rest-demo/ HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:40:10 +0100] "GET /spring-rest-demo/api/students/ahskkskls HTTP/1.1" 400 223
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:42:02 +0100] "GET /spring-rest-demo/api/students/ahskkskls HTTP/1.1" 400 223
0:0:0:0:0:0:0:1 - - [10/Aug/2022:22:42:09 +0100] "GET /spring-rest-demo/api/students/ahskkskls HTTP/1.1" 400 82
